code,description,created_at,updated_at,id
M,Male,2020-02-02 00:00:00,2020-02-02 00:00:00,
F,Female,2020-02-02 00:00:00,2020-02-02 00:00:00,
I,Indeterminate,2020-02-02 00:00:00,2020-02-02 00:00:00,
U,Unknown,2020-02-02 00:00:00,2020-02-02 00:00:00,
