code,description,created_at,updated_at,id,2020-02-02 00:00:00,2020-02-02 00:00:00,
INAPD012,Vizianagaram,2020-02-02 00:00:00,2020-02-02 00:00:00,
INAPD013,West Godavari,2020-02-02 00:00:00,2020-02-02 00:00:00,
INARD001,Changlang,2020-02-02 00:00:00,2020-02-02 00:00:00,
INARD002,Dibang Valley,2020-02-02 00:00:00,2020-02-02 00:00:00,
INARD003,East Kameng,2020-02-02 00:00:00,2020-02-02 00:00:00,
INARD004,East Siang,2020-02-02 00:00:00,2020-02-02 00:00:00,
INARD005,Kurung Kumey,2020-02-02 00:00:00,2020-02-02 00:00:00,
INARD006,Lohit,2020-02-02 00:00:00,2020-02-02 00:00:00,
INARD007,Lower Dibang Valley,2020-02-02 00:00:00,2020-02-02 00:00:00,
INARD008,Lower Subansiri,2020-02-02 00:00:00,2020-02-02 00:00:00,
INARD009,Papum Pare,2020-02-02 00:00:00,2020-02-02 00:00:00,
INARD010,Tawang,2020-02-02 00:00:00,2020-02-02 00:00:00,
INARD011,Tirap,2020-02-02 00:00:00,2020-02-02 00:00:00,
INARD012,Upper Siang,2020-02-02 00:00:00,2020-02-02 00:00:00,
INARD013,Upper Subansiri,2020-02-02 00:00:00,2020-02-02 00:00:00,
INARD014,West Kameng,2020-02-02 00:00:00,2020-02-02 00:00:00,
INARD015,West Siang,2020-02-02 00:00:00,2020-02-02 00:00:00,
INASD001,Barpeta,2020-02-02 00:00:00,2020-02-02 00:00:00,
INASD002,Bongaigaon,2020-02-02 00:00:00,2020-02-02 00:00:00,
INASD003,Cachar,2020-02-02 00:00:00,2020-02-02 00:00:00,
INASD004,Darrang,2020-02-02 00:00:00,2020-02-02 00:00:00,
INASD005,Dhemaji,2020-02-02 00:00:00,2020-02-02 00:00:00,
INASD006,Dhubri,2020-02-02 00:00:00,2020-02-02 00:00:00,
INASD007,Dibrugarh,2020-02-02 00:00:00,2020-02-02 00:00:00,
INASD008,Goalpara,2020-02-02 00:00:00,2020-02-02 00:00:00,
INASD009,Golaghat,2020-02-02 00:00:00,2020-02-02 00:00:00,
INASD010,Hailakandi,2020-02-02 00:00:00,2020-02-02 00:00:00,
INASD011,Jorhat,2020-02-02 00:00:00,2020-02-02 00:00:00,
INASD012,Kamrup,2020-02-02 00:00:00,2020-02-02 00:00:00,
INASD013,Karbi Anglong,2020-02-02 00:00:00,2020-02-02 00:00:00,
INASD014,Karimganj,2020-02-02 00:00:00,2020-02-02 00:00:00,
INASD015,Kokrajhar,2020-02-02 00:00:00,2020-02-02 00:00:00,
INASD016,Lakhimpur,2020-02-02 00:00:00,2020-02-02 00:00:00,
INASD017,Marigaon,2020-02-02 00:00:00,2020-02-02 00:00:00,
INASD018,Nagaon,2020-02-02 00:00:00,2020-02-02 00:00:00,
INASD019,Nalbari,2020-02-02 00:00:00,2020-02-02 00:00:00,
INASD020,North Cachar Hills,2020-02-02 00:00:00,2020-02-02 00:00:00,
INASD021,Sibsagar,2020-02-02 00:00:00,2020-02-02 00:00:00,
INASD022,Sonitpur,2020-02-02 00:00:00,2020-02-02 00:00:00,
INASD023,Tinsukia,2020-02-02 00:00:00,2020-02-02 00:00:00,
INBRD001,Araria,2020-02-02 00:00:00,2020-02-02 00:00:00,
INBRD002,Arwal,2020-02-02 00:00:00,2020-02-02 00:00:00,
INBRD003,Aurangabad(BH),2020-02-02 00:00:00,2020-02-02 00:00:00,
INBRD004,Banka,2020-02-02 00:00:00,2020-02-02 00:00:00,
INBRD005,Begusarai,2020-02-02 00:00:00,2020-02-02 00:00:00,
