code,description,created_at,updated_at,id
6999,Religious Groups-nec,2020-02-02 00:00:00,2020-02-02 00:00:00,
2911,Religious Science,2020-02-02 00:00:00,2020-02-02 00:00:00,
2912,Religious Society of Frnds (Qu,2020-02-02 00:00:00,2020-02-02 00:00:00,
2152,Reorganised Church of Latter D,2020-02-02 00:00:00,2020-02-02 00:00:00,
2413,Revival Centres,2020-02-02 00:00:00,2020-02-02 00:00:00,
2414,Rhema Family Church,2020-02-02 00:00:00,2020-02-02 00:00:00,
2235,Romanian Orthodox,2020-02-02 00:00:00,2020-02-02 00:00:00,
2236,Russian Orthodox,2020-02-02 00:00:00,2020-02-02 00:00:00,
2271,Salvation Army,2020-02-02 00:00:00,2020-02-02 00:00:00,
6995,Satanism,2020-02-02 00:00:00,2020-02-02 00:00:00,
2237,Serbian Orthodox,2020-02-02 00:00:00,2020-02-02 00:00:00,
2311,Seventh-day Adventist,2020-02-02 00:00:00,2020-02-02 00:00:00,
6111,Shinto,2020-02-02 00:00:00,2020-02-02 00:00:00,
6151,Sikhism,2020-02-02 00:00:00,2020-02-02 00:00:00,
6171,Spiritualism,2020-02-02 00:00:00,2020-02-02 00:00:00,
6112,Sukyo Mahikari,2020-02-02 00:00:00,2020-02-02 00:00:00,
2215,Syrian (Jacobite) Church,2020-02-02 00:00:00,2020-02-02 00:00:00,
6053,Taoism,2020-02-02 00:00:00,2020-02-02 00:00:00,
2913,Temple Society,2020-02-02 00:00:00,2020-02-02 00:00:00,
6113,Tenrikyo,2020-02-02 00:00:00,2020-02-02 00:00:00,
6211,Theism,2020-02-02 00:00:00,2020-02-02 00:00:00,
6996,Theosophy,2020-02-02 00:00:00,2020-02-02 00:00:00,
2074,Ukranian Catholic,2020-02-02 00:00:00,2020-02-02 00:00:00,
2238,Ukranian Orthodox,2020-02-02 00:00:00,2020-02-02 00:00:00,
2914,Unitarian,2020-02-02 00:00:00,2020-02-02 00:00:00,
2415,United Pentecostal,2020-02-02 00:00:00,2020-02-02 00:00:00,
2331,Uniting Church,2020-02-02 00:00:00,2020-02-02 00:00:00,
2808,Wesleyan Methodist Church,2020-02-02 00:00:00,2020-02-02 00:00:00,
2071,Western Catholic,2020-02-02 00:00:00,2020-02-02 00:00:00,
6135,Wiccan/Witchcraft,2020-02-02 00:00:00,2020-02-02 00:00:00,
2915,Worldwide Church of God,2020-02-02 00:00:00,2020-02-02 00:00:00,
6231,Zoroastrianism,2020-02-02 00:00:00,2020-02-02 00:00:00,
HINDU,Hindu,2020-02-02 00:00:00,2020-02-02 00:00:00,
CHRISTIAN,Christian,2020-02-02 00:00:00,2020-02-02 00:00:00,
MUSLIM,Muslim,2020-02-02 00:00:00,2020-02-02 00:00:00,
SIKH,Sikh,2020-02-02 00:00:00,2020-02-02 00:00:00,
PARSI,Parsi,2020-02-02 00:00:00,2020-02-02 00:00:00,
JAIN,Jain,2020-02-02 00:00:00,2020-02-02 00:00:00,
BUDDHIST,Buddhist,2020-02-02 00:00:00,2020-02-02 00:00:00,
JUDE,Jude,2020-02-02 00:00:00,2020-02-02 00:00:00,
OTHERS,Others ,2020-02-02 00:00:00,2020-02-02 00:00:00,
7015,Zarthusti,2020-02-02 00:00:00,2020-02-02 00:00:00,
